id,countyname,statename,typename,type,color,popCng,medHome,houseBuilt,miles,hhIncome,nhWhite,uninsured,someColl,health
1003,Baldwin County, Ala.,Graying  America,2,2E547A,35.758,182,1994,3.543,56.607,83.04738793,10.69928804,66.13392635,18.06045782
1005,Barbour County, Ala.,African American South,3,457A59,-2.576,89.3,1980,1.078,32.49,45.95567867,12.51319664,36.77400805,25.77341563
1009,Blount County, Ala.,Evangelical Hubs,4,82477F,0.519,122.2,1987,1.516,48.253,86.94430559,12.11400416,54.41399754,21.09532316
1011,Bullock County, Ala.,African American South,3,457A59,-0.773,66.8,1983,0.619,29.113,21.30177515,13.20648344,33.62068966,29.40771388
1013,Butler County, Ala.,African American South,3,457A59,-1.263,88.8,1979,0.996,36.842,51.59646911,10.66708425,38.44417077,26.5026132
1017,Chambers County, Ala.,African American South,3,457A59,-0.556,86.4,1975,1.107,36.883,55.49787916,10.65698299,47.13993871,25.21983554
1019,Cherokee County, Ala.,Working Class Country,5,86563E,0.043,116.3,1986,1.081,44.842,91.68503693,11.89542484,50.06360167,19.29159345
1021,Chilton County, Ala.,Evangelical Hubs,4,82477F,0.523,98.6,1988,1.401,46.405,80.18471872,14.21126258,38.79891447,21.46530717
1023,Choctaw County, Ala.,African American South,3,457A59,-1.017,69,1982,0.846,36.711,56.46195442,11.28327374,55.25179856,24.11128491
1025,Clarke County, Ala.,African American South,3,457A59,-1.913,93.5,1982,1.167,36.719,52.74675082,11.38065443,38.66786679,27.70052858
1027,Clay County, Ala.,Evangelical Hubs,4,82477F,-0.655,89.3,1978,0.988,39.642,80.50422683,13.4434634,40.82721815,20.58763477
1029,Cleburne County, Ala.,Evangelical Hubs,4,82477F,0.015,111.8,1983,0.982,45.48,92.73825503,11.89959973,49.91457859,18.30098389
1035,Conecuh County, Ala.,African American South,3,457A59,-0.956,76.1,1983,1.007,30.796,49.90777127,12.79908056,34.61387691,29.06951469
1037,Coosa County, Ala.,African American South,3,457A59,-1.043,87.3,1981,0.882,42.442,65.77087595,13.34387544,44.96124031,23.98760761
1039,Covington County, Ala.,Evangelical Hubs,4,82477F,-0.78,96.2,1981,1.897,39.093,83.40342931,12.32830253,53.42693955,22.44928919
1041,Crenshaw County, Ala.,Evangelical Hubs,4,82477F,-0.074,76.8,1978,0.929,38.419,71.17006705,11.50662988,44.26889715,22.2906023
1043,Cullman County, Ala.,Evangelical Hubs,4,82477F,3.036,121.9,1984,2.106,45.925,92.11286327,12.83388794,50.73613245,20.70415356
1047,Dallas County, Ala.,African American South,3,457A59,-5.508,80.8,1974,1.205,31.329,27.32882825,10.37381451,49.19948074,28.70515353
1049,DeKalb County, Ala.,Evangelical Hubs,4,82477F,0.269,102.9,1982,2.161,39.906,80.20302442,16.57869113,44.22500142,23.09744566
1053,Escambia County, Ala.,African American South,3,457A59,-1.572,94.5,1985,1.427,37.87,60.0769087,13.18240436,38.29721041,24.45262368
1055,Etowah County, Ala.,Evangelical Hubs,4,82477F,-1.926,105.1,1973,1.922,41.791,77.97771398,11.52335437,53.06008976,22.97362931
1057,Fayette County, Ala.,Evangelical Hubs,4,82477F,-0.799,83.2,1980,1.262,39.394,84.72795725,10.80351635,54.81049563,19.61169181
