fips,countyname,state,type,color,typename,death,income,nhwhite,obesity,childpoverty,uninsured,longcommute,college,mental,foodinsecure,healthfood,singleparent
1001,Autauga County,AL,1,FCB93A,Exurbs,9.409294766,54.487,75,36.4,19.3,9.4,40.8,61.94201886,12.63835707,13.9,11.991125,24.47140885
1003,Baldwin County,AL,2,2E547A,Graying America,7.467596664,56.46,83.2,29.3,17.6,11.5,40.1,63.75709972,12.82255819,13,5.4244266,25.81144092
1005,Barbour County,AL,3,457A59,African American South,8.929474982,32.884,46.5,44.2,39.6,13.3,35.1,39.72366149,14.63231059,23.4,10.73966657,56.30148992
1007,Bibb County,AL,4,82477F,Evangelical Hubs,11.74193889,43.079,74.4,38.4,27.5,11.9,48.8,49.82137057,12.85403606,16.1,2.60162701,31.4279643
1009,Blount County,AL,4,82477F,Evangelical Hubs,9.359122343,47.213,87.5,35.8,19.4,14,60.2,53.86645741,13.8279427,11.3,2.88014982,27.29423944
1011,Bullock County,AL,3,457A59,African American South,12.34305287,34.278,21.5,40.2,45.7,14.5,37.7,33.71607516,14.84005471,24.4,19.74335074,71.92595857
1013,Butler County,AL,3,457A59,African American South,12.77930485,35.409,52.2,36,36.6,12.2,31.7,42.22176676,15.47420506,22,2.92612193,50.90444775
1015,Calhoun County,AL,4,82477F,Evangelical Hubs,11.5277812,41.778,72.6,36.1,25.7,11.4,29.4,56.74352386,13.8065685,17.4,9.17856658,38.38057319
1017,Chambers County,AL,3,457A59,African American South,10.35004758,39.53,56,38,32.5,13.3,32.5,46.38982417,14.56000236,20.3,10.32855828,47.69402257
1019,Cherokee County,AL,5,86563E,Working Class Country,11.68317111,41.456,91.7,35.5,27.5,11.7,45.9,55.56562727,13.64344403,13.9,0.2211124,32.23596575
1021,Chilton County,AL,4,82477F,Evangelical Hubs,11.09968353,44.188,80.6,36,26.3,15.2,47.6,39.11855142,14.26070407,13.5,1.46053096,32.02382096
1023,Choctaw County,AL,3,457A59,African American South,11.55865447,32.691,56.6,39.5,32.6,11.8,45.6,55.70661896,14.20809993,21.2,7.29041905,43.09150565
1025,Clarke County,AL,3,457A59,African American South,9.133840426,34.061,52.8,38.4,38.9,12.6,34.9,38.97254207,14.62674381,24.7,11.1547123,35.28126707
1027,Clay County,AL,4,82477F,Evangelical Hubs,10.23592252,38.512,80.4,38.1,28.2,14.4,37.5,44.17508418,13.85778102,15,2.32687988,36.65048544
1029,Cleburne County,AL,4,82477F,Evangelical Hubs,11.3804833,43.483,92.7,34.6,24.5,12.1,50.4,46.674151,13.66156229,13.5,2.07171577,22.14224014
1031,Coffee County,AL,6,ABBF48,Military Posts,7.295411499,48.632,70.7,34.2,21.3,11.9,23.3,61.4337295,13.44527255,15.1,5.98120314,38.32478915
1033,Colbert County,AL,4,82477F,Evangelical Hubs,10.56651333,46.572,78.8,34.6,25.1,10.6,26.1,54.06338731,13.365516,16.6,6.55170454,35.24428853
1035,Conecuh County,AL,3,457A59,African American South,12.05145211,29.758,50,38.2,43.9,14.7,38.9,38.76233865,16.51926789,24.4,13.22977626,46.71663098
1037,Coosa County,AL,3,457A59,African American South,9.704480849,36.441,65.6,40.1,29.3,13.5,40.1,44.41329596,14.41541472,17.7,10.12480749,35.44176707
1039,Covington County,AL,4,82477F,Evangelical Hubs,10.3070633,35.01,83.2,33.8,28.1,12.3,27,54.01176471,14.119544,16.3,4.37032675,35.16037852
1041,Crenshaw County,AL,4,82477F,Evangelical Hubs,9.452323779,37.374,70.8,39.6,28.8,12.8,43.4,45.15226849,14.06169471,16.7,17.03906038,35.88178606
1043,Cullman County,AL,4,82477F,Evangelical Hubs,10.05425279,41.543,92.3,34.6,20.7,14.1,35.8,52.29209743,13.86381597,12.9,3.10960625,28.80190719
1045,Dale County,AL,6,ABBF48,Military Posts,7.91029161,40.523,69.5,36.5,29.7,11.5,25.9,59.56383462,13.64086153,16.8,10.55938033,35.54945526
1047,Dallas County,AL,3,457A59,African American South,12.99898457,30.488,27.6,42.4,58.3,12.1,26.9,47.14361986,16.53663583,29.8,11.55627093,73.97021853
1049,DeKalb County,AL,4,82477F,Evangelical Hubs,9.760520702,37.128,80.7,30.5,30.9,17.6,30.5,43.73427277,14.4119461,11.7,2.16696461,32.16839215
1051,Elmore County,AL,1,FCB93A,Exurbs,8.817977538,54.553,73.4,36.5,20.2,9.3,46.3,52.3710689,12.77338597,14.2,6.94302171,33.1927548
1053,Escambia County,AL,3,457A59,African American South,10.77323,35.096,60.3,38.6,30.7,15.5,29.4,35.83833619,14.71505698,20.1,7.21994003,45.4306848
1055,Etowah County,AL,4,82477F,Evangelical Hubs,11.4190149,40.972,78.1,36.8,26.8,12,28.4,52.67567781,14.56439887,15.9,9.40061663,38.21015808
1057,Fayette County,AL,4,82477F,Evangelical Hubs,10.28184983,38.403,84.9,35.6,29,11.9,36.2,52.42105263,13.83820484,16.1,1.3544587,29.8524088
1059,Franklin County,AL,4,82477F,Evangelical Hubs,11.63952447,37.049,77.2,33.2,29.4,16.4,34.1,42.13133494,14.71926991,13.5,4.12061939,40.71989529
1061,Geneva County,AL,4,82477F,Evangelical Hubs,9.96970114,36.976,83.9,36.6,31.4,15.7,44.9,44.66322863,14.8545345,15.5,0.9307848,42.91291801
1063,Greene County,AL,3,457A59,African American South,14.00142852,26.559,17.3,42.3,49.3,12.1,50.7,41.81818182,17.11977165,31.8,21.34247572,68.59296482
1065,Hale County,AL,3,457A59,African American South,10.56072174,35.381,40.1,41.4,34.8,12.1,44.9,46.86064319,15.44143288,23.6,4.64750699,55.83098592
1067,Henry County,AL,4,82477F,Evangelical Hubs,7.766294558,41.426,68.8,37.8,28.9,13.5,35.8,58.35694051,13.63625174,16.2,2.14216797,29.2926491
1069,Houston County,AL,3,457A59,African American South,8.719678068,42.91,67.1,33.3,28.7,11.7,27.7,58.37025911,13.62149009,17.6,6.28260594,43.92259543
1071,Jackson County,AL,4,82477F,Evangelical Hubs,11.39185656,41.407,89.5,36.9,23.6,13.8,37.9,43.17760026,14.618798,14.3,3.27251054,32.25125363
